PLAYER_ID,points,games,games_started,minutes,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_made,three_point_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,PLAYER_NAME,ppg,mpg,fgm_pg,fga_pg,fg3m_pg,fg3a_pg,ftm_pg,fta_pg,oreb_pg,dreb_pg,reb_pg,ast_pg,stl_pg,blk_pg,tov_pg,pf_pg,efficiency,ts_pct,ast_to_tov,per,ws,bpm,vorp
2544,39926,1472,1470,55874.0,14633,28962,0.5074285714285715,2370,6835,0.34714285714285714,8290,11276,0.7330476190476191,1711,9321,11032,10821,2251,1103,5130,2664,LeBron James,27.123641304347824,37.95788043478261,9.940896739130435,19.675271739130434,1.610054347826087,4.643342391304348,5.631793478260869,7.6603260869565215,1.1623641304347827,6.3322010869565215,7.494565217391305,7.351222826086956,1.529211956521739,0.7493206521739131,3.485054347826087,1.809782608695652,42688,0.588472159663053,2.1093567251461987,29.0,49.182,25.5,187.38231707317073
101108,22050,1247,1225,42690.0,7799,16553,0.46784210526315784,1688,4572,0.36684210526315786,4764,5477,0.8695263157894737,752,4830,5582,11737,2584,197,2928,2986,Chris Paul,17.68243785084202,34.23416198877305,6.2542101042502,13.274258219727345,1.3536487570168405,3.6663993584603047,3.8203688853247795,4.392141138732959,0.603047313552526,3.8732959101844426,4.4763432237369685,9.412189254210105,2.0721732157177226,0.15797914995990378,2.34803528468324,2.3945469125902163,29755,0.5813990279957475,4.0085382513661205,23.861267040898156,27.485,20.361267040898156,116.41493780194418
200768,16955,1235,922,38224.0,5455,12848,0.42986363636363634,2231,6089,0.34990909090909095,3814,4682,0.8314090909090909,927,4236,5163,7343,1562,366,2753,3297,Kyle Lowry,13.728744939271255,30.950607287449394,4.417004048582996,10.40323886639676,1.8064777327935222,4.9303643724696355,3.088259109311741,3.791093117408907,0.7506072874493928,3.4299595141700405,4.180566801619433,5.945748987854251,1.2647773279352226,0.2963562753036437,2.2291497975708503,2.6696356275303645,20375,0.568651362214316,2.667272066836179,16.497975708502025,21.293,12.997975708502025,69.91251505875383
200782,6575,1019,716,28558.0,2387,5660,0.40505263157894733,984,2710,0.33763157894736845,817,1085,0.7231578947368421,1474,3978,5452,1385,1099,300,921,2485,P.J. Tucker,6.452404317958783,28.025515210991166,2.3424926398429835,5.554465161923455,0.9656526005888125,2.659470068694799,0.8017664376840039,1.0647693817468107,1.4465161923454366,3.903827281648675,5.350343473994112,1.3591756624141316,1.0785083415112855,0.2944062806673209,0.9038272816486752,2.4386653581943083,10349,0.535650275360902,1.503800217155266,10.15603532875368,12.505,6.6560353287536795,30.14622645348141
201142,29684,1084,1081,39745.0,10199,20277,0.512,2069,5338,0.3960555555555556,7217,8144,0.8831666666666667,720,6892,7612,4790,1136,1239,3441,2094,Kevin Durant,27.383763837638377,36.66512915129151,9.408671586715867,18.70571955719557,1.9086715867158672,4.924354243542435,6.657749077490775,7.512915129151292,0.6642066420664207,6.357933579335794,7.022140221402214,4.418819188191882,1.047970479704797,1.1429889298892988,3.1743542435424352,1.9317343173431734,30015,0.6220358787545536,1.3920371984888114,27.68911439114391,36.23,24.18911439114391,126.93735993609936
201143,13982,1061,1025,33813.0,5796,11311,0.5099411764705882,828,2200,0.35658823529411765,1562,2056,0.7677647058823529,2069,6412,8481,3463,818,1236,1509,2313,Al Horford,13.17813383600377,31.86899151743638,5.462770970782281,10.660697455230915,0.7803958529688972,2.0735155513666355,1.472196041470311,1.937794533459001,1.9500471253534402,6.043355325164939,7.993402450518379,3.2639019792648445,0.7709707822808671,1.1649387370405277,1.4222431668237512,2.180018850141376,20462,0.5722991181796452,2.2948972829688534,19.285579641847313,23.008,15.785579641847313,73.33948834509552
201144,16385,1145,1107,36198.0,5756,13129,0.4348947368421053,1883,4877,0.38084210526315787,2990,3634,0.8231052631578947,543,2842,3385,6635,1564,237,2163,2257,Mike Conley,14.31004366812227,31.613973799126637,5.02707423580786,11.466375545851529,1.6445414847161572,4.25938864628821,2.611353711790393,3.1737991266375545,0.474235807860262,2.482096069868996,2.9563318777292578,5.794759825327511,1.3659388646288209,0.20698689956331878,1.8890829694323144,1.97117903930131,18026,0.5562549056352679,3.0674988441978734,15.743231441048035,19.408,12.243231441048035,62.87518191500692
201145,17637,1444,822,40588.0,6384,14259,0.45387500000000003,1435,4301,0.32708333333333334,3434,4274,0.79975,1214,4706,5920,2174,936,711,1909,3060,Jeff Green,12.21398891966759,28.10803324099723,4.421052631578948,9.874653739612189,0.9937673130193906,2.9785318559556786,2.3781163434903045,2.9598337950138505,0.8407202216066482,3.2590027700831024,4.099722991689751,1.505540166204986,0.6481994459833795,0.49238227146814406,1.32202216066482,2.119113573407202,16754,0.5463903600841659,1.1388161341016239,11.602493074792244,23.295,8.102493074792244,50.00487669752044
201152,15713,1315,801,36590.0,6780,13514,0.5079130434782609,578,1761,0.26643478260869563,1575,2401,0.5835652173913044,2527,4769,7296,2455,1805,502,1819,2773,Thaddeus Young,11.949049429657794,27.825095057034222,5.155893536121673,10.27680608365019,0.43954372623574145,1.3391634980988594,1.1977186311787071,1.8258555133079848,1.9216730038022813,3.6266159695817493,5.548288973384031,1.8669201520912548,1.3726235741444868,0.3817490494296578,1.3832699619771862,2.108745247148289,18392,0.5392081501999939,1.3496426608026388,13.986311787072243,23.497,10.486311787072243,55.71635954743577
201565,13514,797,528,23747.0,5288,11593,0.44463157894736843,647,2025,0.30478947368421055,2291,2748,0.861157894736842,586,1903,2489,4015,592,265,1858,959,Derrick Rose,16.95608531994981,29.795483061480553,6.634880803011292,14.545796737766624,0.8117942283563363,2.5407779171894607,2.874529485570891,3.4479297365119197,0.7352572145545797,2.3877038895859473,3.122961104140527,5.037641154328733,0.7427854454203262,0.3324968632371393,2.331242158092848,1.2032622333751568,12255,0.5278032075937422,2.160925726587729,15.376411543287327,15.002,11.876411543287327,40.18574938029807
